PM2.5,PM10,SO2,NO2,O3,TEMP,PRES,DEWP,RAIN,WSPM,CO
32,74,9,45,87,25.2,1004.3,-13.1,0,7.2,600
26,72,5,24,115,24.9,1004.1,-7.6,0,4.1,300
18,111,2,17,121,25.1,1004.8,-13.2,0,4.5,300
17,101,2,17,120,22.9,1006.1,-11.7,0,6,200
19,107,2,15,122,21.6,1007.9,-15.8,0,4.7,200
9,149,2,18,117,18.9,1010,-14.7,0,3.6,200
13,162,2,20,107,17.3,1012.7,-13.5,0,2.9,200
19,163,2,24,95,15.4,1014.4,-12.9,0,2.1,200
17,130,2,27,87,12.4,1016,-4.7,0,2,200
24,208,9,42,70,11.4,1016.8,-4.3,0,2.3,500
33,151,15,42,69,10.9,1017.6,-4,0,2,600
26,140,14,38,69,10.2,1018.4,-3.9,0,1.8,600
29,109,14,40,64,10.1,1018.9,-4.7,0,0.9,600
31,111,12,39,64,9.3,1018.9,-5,0,1.4,600
28,103,14,39,60,6.8,1019.1,-4,0,1.3,500
32,91,14,42,51,5.2,1019.6,-3.9,0,0.4,500
38,111,14,66,26,4.6,1020,-3.4,0,0.3,600
40,118,13,78,12,7.1,1020.6,-2.4,0,1.7,700
35,97,8,64,25,11.3,1020.9,-10.9,0,3.6,500
26,66,3,38,55,12.7,1021.1,-11.8,0,3.9,300
6,56,2,12,87,12.9,1021.1,-12.4,0,3.6,200
7,49,2,11,92,14.3,1020.4,-12,0,3.7,200
7,49,2,11,92,15.4,1019.4,-12,0,3.6,200
11,40,2,10,102,16.8,1018.3,-12.8,0,3.1,200
13,36,2,9,106,17.9,1017.1,-12,0,2.3,200
9,36,3,13,109,19.5,1016,-13,0,5.2,200
13,46,6,14,111,20.2,1014.9,-13.8,0,3.3,300
17,49,6,15,113,20.4,1014.5,-13.6,0,2.2,300
13,49,6,19,113,17.9,1014.4,-8.3,0,4.4,300
28,119,7,33,115,16.2,1015.1,-6.8,0,3.4,400
36,136,7,39,107,15.6,1015.8,-4.9,0,4.9,500
36,136,7,39,107,14.7,1016.3,-3.2,0,2.9,500
50,159,11,47,85,14.2,1016.4,-3.6,0,3.3,500
51,160,11,52,74,13.1,1016.6,-3.2,0,2,500
51,150,11,60,60,12,1016.9,-3,0,1.8,600
59,160,12,56,59,10.9,1016.7,-2.5,0,1.6,600
58,150,11,65,43,10.1,1016.4,-2.3,0,2.3,600
60,155,11,87,17,8.8,1016.2,-2.2,0,1,700
66,158,11,92,10,6.6,1016.3,-1.8,0,0.7,700
65,145,11,96,2,5.5,1016.3,-1,0,0.6,700
65,145,11,96,2,4.7,1016.6,-0.7,0,1.2,700
62,143,10,95,2,7.8,1016.9,-0.2,0,0.6,700
97,185,8,94,2,12.7,1017,-2,0,0.6,1000
105,220,15,103,3,15.1,1016.9,-3.8,0,0.4,1200
97,203,17,108,8,18.7,1016.5,-8.5,0,1.2,1200
72,135,14,98,18,20.9,1015.6,-10.7,0,2.2,900
46,59,9,66,54,22.1,1014.2,-12.3,0,3.1,600
44,82,9,76,68,23,1012.9,-10.3,0,4,700
38,75,8,43,106,24.4,1011.3,-10.6,0,4,500
32,80,6,26,128,24.4,1010.3,-6.9,0,5.3,1000
32,80,6,25,127,24.4,1009.5,-5.8,0,4.4,400
46,131,9,27,128,23.4,1009.1,-4.7,0,4.9,400
55,155,15,35,117,22,1008.9,-5,0,3,600
55,161,17,46,112,21,1009.1,-5.8,0,4.4,600
59,192,21,49,111,20.1,1009.6,-2.3,0,7,700
58,178,24,48,97,19.4,1009.8,-2.3,0,6.8,800
66,189,26,49,85,18.5,1009.9,-1.4,0,5,700
61,166,23,45,84,17.7,1009.8,-2.1,0,4.2,600
54,167,22,42,79,16.8,1009.9,-1.4,0,3.6,500
56,139,21,40,76,15.3,1009.6,-1.8,0,1.1,500
54,136,21,46,63,12.9,1009.4,-0.4,0,1.9,500
62,144,22,47,57,13.1,1009.4,0.5,0,1.2,500
69,146,23,49,51,10.2,1009.6,1,0,0.5,600
73,144,22,NA,30,9,1009.5,1.2,0,0.4,600
77,143,21,48,42,8.5,1009.8,2.1,0,0.9,700
83,151,19,51,34,9.6,1009.9,4,0,0.8,700
89,155,19,64,21,13.5,1010.2,3,0,1.1,800
98,166,25,64,24,15.4,1010.4,1.5,0,0.8,900
102,189,26,83,14,17.7,1010.5,2.4,0,0.9,1000
101,222,26,93,20,19.1,1010.1,1.6,0,0.7,1000
101,222,26,93,20,20.8,1009.3,1.6,0,1.9,1000
119,217,28,72,76,22.4,1008.7,0.2,0,0.7,900
113,190,27,58,111,23.7,1008,-0.6,0,2,900
105,178,24,52,132,24,1007.1,-1.1,0,2.2,800
114,174,24,48,160,24.4,1006.6,0,0,2.4,800
112,157,20,32,209,24.3,1006.5,1.8,0,1.7,800
107,160,20,28,201,23,1006.7,0.1,0,2.8,700
109,150,23,25,198,21.2,1007.2,0.4,0,1.6,800
109,152,25,42,171,18.9,1008,0.5,0,0.1,900
122,177,24,59,137,16.8,1008.5,2,0,1,1000
132,185,27,83,102,17,1009,2.6,0,1.3,1200
152,226,37,82,100,13.3,1009.5,3.4,0,0.1,1300
153,204,37,74,99,14.6,1010,2.8,0,1.9,1300
155,211,39,144,28,14.5,1010.3,3,0,1.1,1600
196,270,43,162,2,12.6,1010.5,3.5,0,0.6,1900
197,272,39,136,2,10.6,1010.4,4.1,0,0.5,1800
189,246,26,117,2,9.8,1010.5,5.2,0,0.9,1700
184,224,19,108,2,9.2,1010.7,5.4,0,1.1,1700
186,253,20,104,2,8.3,1011,5.2,0,0.8,1900
177,248,16,90,2,9.5,1011.6,5.9,0,0,2200
177,248,16,90,2,13.1,1011.8,6.9,0,1,2200
175,236,35,87,2,15.4,1011.6,6.4,0,1.1,2100
191,286,46,104,3,17.4,1011.6,6.9,0,1.3,2400
218,304,59,110,15,19.7,1010.9,7.1,0,1.7,2400
218,294,74,97,43,21.4,1009.8,6.5,0,2.6,2200
131,298,71,121,69,23.1,1008.7,4.6,0,2.5,2100
NA,NA,NA,NA,NA,24.2,1007.9,4,0,2.5,NA
177,180,49,51,196,24.8,1006.9,2.2,0,2.6,1300
168,183,47,40,219,24.7,1006.2,5,0,3.8,1200
168,183,47,40,219,24.6,1005.6,4.3,0,2.1,1200
156,186,54,47,209,23.5,1005.7,4.4,0,3,1200
NA,NA,NA,NA,NA,22.9,1005.8,5.3,0,2.8,NA
NA,NA,NA,NA,NA,22.2,1006.5,6,0,1.8,NA
147,204,43,69,164,21.7,1006.8,5.6,0,2.5,1200
146,196,37,71,138,20.9,1006.7,5.7,0,1.1,1100
146,196,37,71,138,19.8,1006.6,6.2,0,1.7,1100
133,179,35,67,118,19.1,1006.3,6.9,0,2.1,1100
133,179,35,67,118,18.4,1005.7,7.5,0,1.6,1100
138,182,40,75,80,17.7,1005.3,8.3,0,1.4,1100
130,178,40,59,95,15.5,1005.1,8.5,0,1,1000
130,178,40,58,94,14.1,1004.9,8.7,0,0.5,1000
136,161,37,46,81,12.9,1004.6,8,0,0.6,2000
140,159,40,49,67,12.9,1005.5,9.2,0,1.6,1100
140,164,35,52,54,13.9,1005.6,9.1,0,0.7,2000
154,178,30,96,16,16.5,1006.2,9.2,0,0.7,1300
179,259,30,136,3,18,1006.2,9.9,0,1.9,1700
168,246,33,106,18,21.2,1005.6,9.7,0,1.9,1500
NA,NA,NA,NA,NA,26.4,1004.9,0.9,0,3.3,NA
NA,NA,NA,NA,NA,28.1,1004.1,-1.9,0,4.3,NA
NA,NA,NA,NA,NA,29.1,1004,-4.4,0,4.9,NA
NA,NA,NA,NA,NA,29.5,1004,-5.3,0,3.3,NA
51,190,5,17,122,29.2,1004.2,-3.1,0,1.9,300
42,167,2,14,116,28.2,1005,-3.9,0,4.9,300
47,214,2,19,122,27.2,1005.9,-3.6,0,3.6,300
48,309,2,19,106,26,1007,-4.6,0,3.1,300
48,309,2,19,106,23.8,1008.5,4.2,0,3.1,300
55,353,2,22,104,22.4,1010.4,4.4,0,6.4,300
65,431,8,42,98,21.1,1012.6,1.9,0,3.2,600
95,259,26,43,122,19.6,1014,2.4,0,2.7,1100
93,331,38,61,83,17.9,1015.4,4.5,0,2.4,1500
93,331,38,61,83,16.5,1016.5,4.5,0,1.9,1500
135,381,44,75,39,15.7,1016.7,3.1,0,1.2,2200
135,381,44,75,39,15.5,1017.2,2.3,0,0.9,2200
105,444,40,62,43,15.4,1017.1,1.9,0,1.1,1800
100,427,37,57,46,15.1,1017.4,1.6,0,1.2,1500
93,465,36,57,27,14.3,1017.4,2.5,0,0.7,1500
89,459,34,49,38,14.3,1018.4,1.9,0,2.4,1500
87,494,36,47,32,14.3,1019.1,1.5,0,0.9,1600
92,504,39,54,20,14.9,1019.4,1.4,0,1.9,1500
86,551,36,51,24,15.2,1019.8,0.2,0,2.2,1300
86,551,36,51,24,16.1,1019.9,0.2,0,2.4,1300
76,580,37,41,40,16.4,1019.7,-1.2,0,2,1200
NA,NA,NA,NA,NA,16.5,1019.3,-0.7,0,1.5,NA
85,395,25,30,62,17,1018.7,-0.3,0,2,900
NA,NA,NA,NA,NA,18,1017.7,-0.8,0,2.6,NA
79,403,22,31,63,17.9,1016.8,-6.8,0,2.4,800
51,306,17,25,77,17.3,1016.2,-5.3,0,2.5,700
47,196,20,23,81,17,1016.1,-4.9,0,3.1,700
47,196,20,23,81,16.7,1016,-4,0,2.1,700
NA,NA,NA,NA,NA,16.1,1016.1,-2.4,0,0.8,NA
56,254,33,50,51,16,1016.4,-2.1,0,1.3,1300
57,240,30,58,42,15.8,1016.8,-2.2,0,0.7,1400
60,254,35,63,35,15.9,1017.2,-2.1,0,1.4,1600
67,260,36,72,23,15.4,1017,-2.6,0,0.5,1700
67,251,35,64,28,14.4,1016.4,1.3,0,0.6,1600
67,251,35,64,28,14.5,1016.3,-0.4,0,1.5,1600
NA,NA,NA,NA,NA,13.8,1016.4,-0.7,0,1.2,NA
60,172,34,73,10,13.6,1016.5,-1.2,0,1.4,1500
62,171,33,81,2,13.3,1016.1,-0.4,0,2,1700
66,152,34,82,2,12.7,1016,-0.2,0,1.8,1800
68,110,32,71,15,12.4,1015.9,1.4,0,1.5,1400
68,110,32,71,15,12.7,1016,0.4,0,1.5,1400
NA,NA,NA,NA,NA,12.8,1016.8,-1.2,0,1,NA
43,52,9,34,76,13,1017.3,-0.3,0,1.1,600
47,70,11,60,42,13.6,1017.4,0.6,0,1.5,800
40,74,9,39,65,14.2,1016.9,0.8,0,2,600
40,74,9,39,65,15.3,1015.8,-0.1,0,0.7,600
NA,NA,NA,NA,NA,16.1,1014.9,-1.5,0,1.1,NA
42,50,8,25,87,17.2,1013.9,-1.5,0,1.4,400
42,45,11,22,96,17.5,1013.1,-2.8,0,2.3,400
44,62,11,19,116,16.8,1012.6,-2.8,0,0.9,400
44,62,11,19,116,16.7,1012.3,-1.9,0,1.5,400
45,60,10,22,120,16.3,1012,-1.8,0,2,500
45,60,10,22,120,15.5,1012.5,-2.5,0,1.6,500
NA,NA,NA,NA,NA,15,1012.9,-1.2,0,2.1,NA
61,113,39,67,44,14.5,1013.5,0,0,1.2,1500
78,135,52,87,17,13.8,1013.7,0.1,0,0.9,2100
95,151,58,104,2,13.1,1013.4,-2.4,0,1.2,2700
95,112,43,101,2,10.9,1013.5,-1.5,0,0.7,2200
73,82,30,82,16,10.7,1013.2,-2.4,0,1.4,1400
NA,NA,NA,NA,NA,9.4,1012.8,-1.7,0,0.6,NA
78,78,NA,NA,NA,8.5,1012.4,0.2,0,1,NA
87,121,34,93,2,8,1012.2,1.2,0,1,1600
87,121,34,93,2,6.9,1012.3,1.6,0,0.1,1600
97,135,18,95,2,7.6,1012.6,1.9,0,0.7,1900
111,186,18,100,2,9.1,1013.2,2.9,0,1.1,2300
NA,NA,NA,NA,NA,12.1,1013.3,1.7,0,1,NA
128,234,32,98,2,14.7,1013.4,1.9,0,0.9,2900
127,218,38,102,2,16.2,1013.4,1.9,0,1,2700
193,224,39,124,5,17.9,1012.9,-0.4,0,0.7,2400
176,182,35,134,18,19,1012.4,-2.6,0,2.3,2200
112,117,25,70,75,19.8,1011.4,-2,0,2.1,1300
92,122,23,40,117,20,1010.5,-1.2,0,2.2,1100
92,122,23,40,117,20.7,1010,-1.2,0,3.2,1100
103,111,23,26,140,20.7,1009.5,-0.6,0,2.1,1000
101,224,29,28,148,20.2,1009.5,-0.5,0,2.5,1200
108,237,34,32,153,19.8,1010.1,-0.8,0,1.9,1500
117,152,42,51,149,18.8,1009.7,0.4,0,1.3,2100
115,133,39,55,143,17.8,1011.1,-0.5,0,2.3,2100
120,141,35,67,125,16.4,1011.6,0.1,0,1.9,2000
108,142,34,87,58,14.9,1011.9,1.1,0,0.6,1500
88,148,32,99,21,14,1012.4,1.6,0,1.2,1400
86,152,29,113,2,11.9,1012.7,2.3,0,0.5,1400
93,164,27,100,14,13.4,1012.7,4.8,0,1.2,1400
115,160,27,65,39,12.1,1012.8,4.6,0,2,1100
115,160,27,65,39,11.3,1012.9,4.7,0,1.4,1100
146,148,26,59,27,10.2,1012.8,4.6,0,0.6,2000
126,142,22,59,2,8.9,1012.8,4.7,0,0.8,1500
141,150,20,100,2,8.3,1013.3,4.9,0,1.1,1700
142,150,13,94,2,9.9,1014,5.9,0,0.8,1800
158,206,16,94,2,12.1,1014.5,6.4,0,1.2,1800
157,227,21,93,2,14,1014.9,6.6,0,1.3,1600
165,237,32,98,8,16.2,1015,6.6,0,2,1700
165,237,32,98,8,18.1,1014.6,6.3,0,1.2,1700
203,294,53,95,55,20.3,1013.8,5.1,0,1.6,1600
202,234,47,91,98,21.6,1013,4.6,0,3.3,1500
187,201,39,74,147,22.4,1012.2,4.9,0,3,1300
185,201,35,41,215,23.2,1011.3,5.6,0,2.1,1200
180,191,33,30,235,23.5,1010.6,5.8,0,3.1,1100
163,179,31,28,232,23.1,1010.5,6.8,0,2.1,1100
159,194,33,28,230,22.4,1010.9,6.6,0,2.2,2000
159,194,33,28,229,20.9,1011.4,6.4,0,1.4,1200
134,149,26,42,189,19.3,1012.1,6.7,0,0.9,1100
132,169,24,58,145,18.4,1012.7,7.2,0,0.7,1200
132,169,24,58,145,15.6,1012.9,7.9,0,0.9,1200
NA,NA,NA,NA,NA,15.8,1013.1,8.8,0,1.4,NA
188,212,29,118,48,15.9,1013.3,9.3,0,1.7,1800
219,269,26,142,5,15.1,1013.2,9.5,0,1.1,2000
230,250,28,117,10,13.2,1013.2,9.1,0,1.3,2300
208,231,29,99,13,12,1013.1,8.8,0,0.9,2300
213,255,24,112,2,11.5,1012.9,8.7,0,0.9,2300
223,270,21,106,2,11,1013.2,8.6,0,0.7,2400
230,262,21,96,2,10.2,1013.7,8.1,0,0.6,2200
230,262,21,96,2,12.1,1014.4,9.1,0,0.9,2200
197,228,18,80,2,13.8,1014.1,9.2,0,1.2,1800
238,254,30,82,4,15.7,1014.5,9.8,0,2,1900
233,269,45,80,18,17.8,1014.2,10.7,0,0.8,2000
272,317,58,96,35,19.9,1013.7,10.3,0,1.6,2300
284,304,61,91,70,21.9,1012.6,11.3,0,0.7,2300
295,322,65,97,100,23.3,1012,11.4,0,2.2,2400
287,303,55,92,156,24.5,1010.9,11.4,0,2.5,2200
235,264,46,75,198,25.2,1010,11.7,0,1.3,1900
217,241,44,54,228,25.4,1009.4,11.6,0,1.7,1900
218,188,44,46,219,25.1,1009,12.3,0,2.4,1600
163,193,44,41,205,24.2,1008.9,12.5,0,3.1,1600
171,227,47,50,197,23.1,1009.4,12.4,0,2,1800
193,234,42,60,190,21.2,1010,12.9,0,1.1,1800
198,240,33,69,151,21.5,1010.5,13.1,0,2.2,1800
209,269,33,96,96,22.1,1010.5,8.9,0,3.6,2100
195,118,39,73,92,21.5,1010.7,7.3,0,2.3,1700
85,71,24,49,88,20.2,1011.4,7.2,0,1.9,1000
54,58,18,48,82,19.8,1011.7,7.5,0,1,800
45,66,15,42,87,18.3,1011.9,7.7,0,1,700
42,61,13,44,79,15.7,1012.2,8.2,0,0.8,800
41,70,11,64,54,14.6,1012.5,8.3,0,0.9,800
41,70,11,64,54,13.2,1013.3,8.7,0,1.4,800
54,95,8,110,2,12.9,1014.3,9.2,0,1.2,900
54,95,8,110,2,16.7,1015.3,10.5,0,1.2,900
54,95,8,109,2,17.8,1016.4,10.9,0,1.3,900
54,95,8,109,2,20,1017.1,11.2,0,2.5,900
94,142,24,80,16,21.1,1017.2,11.7,0,2.5,1200
104,142,45,61,72,21.3,1016.6,11.3,0,2.4,1500
101,114,37,44,106,21.4,1015.8,11.4,0,3.3,1200
72,97,29,33,130,20.4,1015.5,4,0,4,1100
98,73,28,48,113,20.5,1015.2,1.3,0,2.8,1100
46,164,25,55,56,20.6,1014.6,1.4,0,3.9,700
39,184,18,47,70,19.7,1014.4,0.7,0,2.2,600
43,158,20,47,66,18.4,1014.4,-1,0,3.2,600
30,138,18,52,53,17.8,1013.7,-1,0,1.3,600
24,119,15,50,56,17,1014.3,-1.7,0,2.3,700
29,104,11,64,42,16.1,1014.7,-2,0,1.5,700
37,117,13,78,26,15.7,1015.3,-2.3,0,1.2,1000
43,128,13,78,20,14.7,1014.9,-1.8,0,1.2,1100
37,98,12,72,21,15.5,1014.7,-2.5,0,1.3,800
31,67,10,68,23,15.3,1014.4,-2.7,0,1.5,700
27,80,10,61,30,14.4,1013.7,-2.5,0,0,700
28,67,9,62,31,14.1,1012.7,-0.4,0,1,700
28,79,9,65,26,13.9,1012.4,-0.6,0,1,600
30,100,8,79,9,13.1,1011.9,0.5,0,0,500
37,130,8,79,2,12.7,1011.5,2.5,0,0,700
41,86,9,83,2,12.7,1011.5,2.2,0,0,700
41,98,9,82,2,13.3,1011.5,3.4,0,0.4,700
37,53,9,76,7,14.7,1011.8,3.5,0,1,600
48,220,10,65,19,15.9,1011.9,2.3,0,0.3,600
38,99,15,71,19,17.3,1011.6,-6.6,0,1.2,700
44,98,17,63,44,18.1,1011.2,-7.4,0,1,600
38,83,16,51,63,18.9,1010.3,-7.5,0,0.7,600
41,123,14,55,64,19.9,1009.5,-6.7,0,1,500
51,100,15,63,62,20.7,1008.6,-6.1,0,2.7,600
50,91,16,57,75,20.7,1007.8,-6.1,0,1.8,600
38,130,15,57,85,20.9,1007.2,-5.9,0,0.8,500
49,135,13,58,92,20.5,1006.8,-5.4,0,1.9,500
42,106,13,46,118,20,1006.7,-3.7,0,1.6,400
56,133,15,61,102,18.8,1006.5,-2.8,0,1.4,500
61,127,17,64,88,16.2,1007,-1.9,0,0,600
58,163,17,82,50,15,1007,0.8,0,0.6,800
71,147,17,121,8,14.7,1006.9,0.9,0,0.4,1100
75,197,17,126,2,15.3,1006.5,1,0,0.5,1300
84,181,21,118,2,16.3,1006.5,-1.8,0,1,1400
88,172,30,113,3,16.7,1006.3,-2.9,0,1,1400
98,155,40,119,2,15.4,1005.6,-0.8,0,1.6,1400
79,132,39,119,2,15,1005.6,0.4,0,1.2,1200
84,164,53,124,2,14.6,1006.3,3.1,0,1.6,1300
101,237,51,121,2,12.7,1006.9,7.2,1,1.1,1300
102,226,24,112,2,11.5,1007.2,9.7,1.1,0.8,1600
96,210,10,95,2,11.3,1007.8,9.6,0.7,0,1400
89,127,5,78,2,11.4,1008.6,9.5,0.5,1.4,1400
90,109,5,76,2,11.6,1009.1,9.5,0.7,1.2,1400
82,87,8,95,2,11.3,1009.6,8.7,0.9,2.6,1800
98,68,12,79,27,11.9,1010,8.2,0,1.3,1400
91,72,18,63,43,12.4,1009.7,7.3,0,1.6,1300
90,73,24,62,49,14.4,1008.7,8.1,0,3.4,1500
74,91,39,48,69,16,1008.5,8.5,0,0.8,1500
79,99,41,36,93,16.4,1008.1,8.6,0,1.3,1300
80,96,38,34,107,17,1008.4,8.4,0,1.6,1200
83,97,36,38,115,16.9,1008.6,9.1,0,1.7,1200
112,94,31,50,110,16.5,1008.6,8.9,0,2,1200
96,113,31,54,109,16.1,1009.3,9.3,0,1.3,1300
102,111,27,49,113,15.3,1010.1,9.4,0,0.5,1200
124,103,21,50,96,14.3,1011,9.9,0,1.5,1200
122,73,19,44,95,15.2,1012.1,9.3,0,1,1200
101,122,19,61,62,14.8,1012.5,9.4,0,1.2,1300
113,125,32,77,27,14.6,1013,9.6,0,0.9,2500
145,155,26,89,6,14.2,1012.4,10.4,0,1.4,2300
126,137,24,73,8,13.4,1012.9,10.7,0,1.3,1900
120,126,17,76,2,13.2,1013,10.9,0,0.8,1700
116,136,15,71,2,13,1013.1,11.1,0,0.6,1500
119,128,12,68,2,12.9,1014,11.1,0,1.2,1300
123,110,10,68,2,12,1014.6,10.7,0,1,1200
124,102,9,61,2,12.6,1015,11.5,0,0.9,1300
109,135,8,58,2,13.8,1015.8,11.7,0,1.3,1300
120,150,10,58,2,15.4,1016,11.6,0,0.5,1300
133,156,18,64,8,16.6,1016.4,10.9,0,1.1,1300
170,188,24,70,18,18.4,1016.7,10.7,0,1.3,1400
183,201,31,67,47,18.9,1016.2,10.5,0,2.1,1500
179,155,30,49,97,19.2,1015.2,9.7,0,2.3,1400
179,155,30,49,97,19.6,1014.5,10,0,2.6,1400
169,107,20,36,132,19.6,1013.9,10.3,0,3.8,1300
153,122,18,25,150,19.6,1013.8,10.6,0,3.2,1200
143,154,15,30,157,19.2,1014,10.2,0,2,1300
157,115,16,24,148,17.8,1014.4,8.9,0,3.9,1200
144,102,16,32,131,16.3,1015.3,4.3,0,1.5,1300
122,42,28,79,59,15.4,1016.5,2.9,0,2.1,1600
84,102,28,75,61,14.7,1017.7,2.2,0,2.6,1200
76,93,22,57,74,14.5,1017.9,2.4,0,2.5,900
68,74,20,53,75,14,1018.5,1.9,0,2.2,900
71,99,19,70,52,13.5,1018.8,2.1,0,0.8,700
76,103,22,78,38,12.9,1018.8,2.7,0,1.8,900
79,116,23,96,15,12.8,1018.2,2.9,0,1.6,900
75,115,24,106,3,12.5,1018,4.2,0,1,1000
76,106,21,98,2,12.3,1017.3,3.8,0,1.1,900
67,99,19,98,2,12.4,1017.2,3.6,0,1.6,900
71,82,16,100,2,12.2,1017.7,3.9,0,0.7,600
57,89,17,99,2,13.2,1018.1,2.4,0,1.3,600
42,52,24,92,10,13.3,1018.1,2.8,0,0.9,700
69,93,29,99,9,14,1017.8,1.9,0,1.3,900
69,74,31,95,18,14.8,1018.1,-0.5,0,1.9,1100
61,71,38,77,41,14.5,1017.7,-2,0,2.1,1400
51,67,39,62,58,14.3,1017.6,-3.5,0,1.5,1200
32,36,28,50,72,13.8,1017.6,-0.7,0,2.2,800
32,36,28,50,72,13.1,1017.1,1.4,0,2.3,800
46,62,14,37,87,13.4,1015.8,2.9,0,2.4,500
43,48,12,39,86,13.4,1015.5,4,0,1.9,500
52,62,13,44,82,14.5,1015,3,0,3.3,600
41,54,15,42,86,13.9,1014.3,2.8,0,3.3,600
49,20,12,40,91,12.4,1014.4,3.3,0,2.1,400
50,57,10,48,82,12,1014.2,3.5,0,1.4,500
42,55,9,59,65,10.5,1014.5,4,0,1.4,600
44,52,9,61,57,10.9,1014.4,4.4,0,1.1,600
48,60,9,74,40,8.6,1014.5,4.4,0,0.7,700
56,67,10,66,43,8.1,1014.7,5.2,0,0.8,700
79,79,8,91,14,9,1014.5,6.3,0,0.8,900
92,116,7,100,2,9.2,1014.2,6.1,0,0.7,1300
104,124,8,100,2,9.3,1014.2,6.2,0,0.7,1300
119,146,8,98,2,8.8,1013.5,6.1,0,1.2,1300
124,131,7,92,2,7.4,1014.1,5.4,0,0.4,1300
98,114,6,89,2,8.2,1013.8,4.2,0,2.3,1300
112,126,6,90,2,8.7,1014.3,4.3,0,0.4,1400
96,55,7,77,2,11.4,1014.4,3.9,0,1.2,900
74,77,10,67,12,14.6,1014.3,3.1,0,1.2,800
75,43,15,45,40,16.1,1014.2,1,0,2.2,700
52,57,18,50,38,17.5,1014,-0.8,0,2.7,600
34,13,17,37,50,18.2,1013.1,-2.7,0,1.7,400
3,5,9,20,72,19.5,1012.1,-3.4,0,1.1,1000
3,14,7,23,76,19.8,1011.1,-3.2,0,1.1,200
17,5,6,14,91,21.8,1010.1,-2.9,0,2.3,200
17,5,6,14,91,21.6,1009.5,-1.7,0,2.2,200
31,68,7,32,110,21.3,1009.5,1.5,0,3,300
48,60,7,30,131,20.1,1009.2,1,0,2.7,300
51,76,8,32,144,19.5,1009.4,1.9,0,3.6,300
50,77,9,46,116,18.9,1010.4,3.1,0,3.5,400
56,81,10,47,106,18.3,1011.2,3.7,0,3.7,500
68,97,11,59,86,17.3,1011.3,3.9,0,1.7,600
66,77,11,62,75,13.9,1011.4,4.7,0,1.6,600
64,107,10,70,56,11.9,1012,5.5,0,1.2,700
64,107,10,70,56,10.6,1012.2,5.4,0,0.6,700
72,100,9,112,14,10.2,1012.2,4.8,0,0.3,1000
75,92,8,119,2,9.1,1012.3,4.7,0,0.6,1100
82,124,8,118,2,8.2,1012.3,4.2,0,1.2,1100
82,124,8,118,2,9.1,1012.3,1.7,0,1.6,1100
82,124,8,118,2,10,1012.8,2.3,0,0.6,1100
82,124,8,118,2,13.5,1013.5,3.8,0,0.8,1100
62,68,8,94,2,15.4,1013.7,0,0,2.3,900
52,78,9,84,2,17.7,1013.9,-0.6,0,1.4,600
47,74,10,65,20,20.1,1014,-1.1,0,1.5,500
34,80,7,52,41,21.4,1013.5,-4.7,0,2,400
26,43,5,39,67,22.5,1012.8,-5.5,0,3.7,300
10,14,3,19,96,23.4,1012,-3.1,0,2.9,200
12,30,5,14,110,23.8,1010.9,-3.6,0,2.4,100
17,54,7,13,111,24.5,1009.7,-3,0,2.7,200
9,20,7,19,110,24.3,1009.1,-2.3,0,3.5,200
33,43,6,27,122,23.8,1009.1,-2.7,0,3.2,200
21,58,5,31,126,22.8,1009.3,-1.4,0,2.8,200
33,48,5,30,123,21.7,1009.7,-1.6,0,1.5,200
30,52,5,35,113,21,1010.2,0.2,0,2.3,200
35,82,5,56,92,20.6,1010.7,1.4,0,3.9,400
45,90,6,66,82,19.8,1010.8,1.7,0,2.9,600
58,113,8,67,80,17.8,1011,2.1,0,1.5,600
60,95,10,76,63,16.2,1011.7,3.6,0,1,700
70,151,12,79,51,13.2,1011.8,4.3,0,0.9,800
101,170,14,71,47,11.4,1011.6,5.5,0,0,900
107,151,8,101,12,10.8,1011.7,4,0,0.6,1000
104,148,6,108,2,10.1,1011.6,2.4,0,0.4,1100
98,56,7,108,2,8.5,1011.5,2.3,0,0,900
66,67,8,103,2,7.9,1011.5,2.6,0,0.8,700
59,92,7,96,2,13.2,1011.5,2.4,0,1.3,700
46,56,8,89,3,16.6,1011.7,0.2,0,0.9,600
41,73,9,82,8,18.4,1011.5,-0.5,0,1.7,600
37,87,6,82,27,21.3,1011.5,-1.9,0,0.8,500
26,88,4,59,52,23.1,1011,-0.4,0,1.8,400
35,73,4,50,84,24.6,1010,-0.6,0,1.8,400
50,95,6,64,101,25.4,1008.7,0.8,0,3.1,500
57,138,6,61,122,26.4,1007.6,0.9,0,2.6,400
68,90,6,39,152,26.5,1006.3,1.7,0,2.5,300
50,72,4,21,162,26.3,1005.4,2.2,0,5.3,200
50,72,4,21,162,25.8,1005.1,2.5,0,4,200
60,88,8,22,164,24.6,1005.1,3.8,0,3.6,300
62,106,12,29,155,23.6,1005.4,4,0,5.3,400
58,121,19,35,145,22.9,1005.8,5.8,0,3.4,500
64,142,26,45,130,22.4,1006.5,4,0,3.4,600
75,105,26,48,118,21.8,1006.7,5.2,0,4.2,700
63,91,21,59,98,21,1006.7,6.9,0,3.2,700
67,131,22,52,98,20.4,1007,7.7,0,3,800
78,144,23,49,90,19.6,1006.8,8.9,0,4.3,900
80,132,22,44,85,19.1,1006.5,10.1,0,2,900
84,146,19,35,87,17.7,1006.6,10.1,0,1.7,800
